source_file	type	variable-data_type	variable-name	variable-shape	variable-FillValue	variable-Flag	variable-long_name	variable-unit	variable-flags	variable-missing_value
Blodget_grid_20240622.nc.cdl	grid	float	RSNw	ntopou			N in surface woody litter	gN m-2		
Blodget_grid_20240622.nc.cdl	grid	float	RSNwL	ntopou,nlevs	-999.9		Initial woody litter N	gN m-2		
Blodget_grid_20240622.nc.cdl	grid	float	RSPf	ntopou			P in surface fine litter	gP m-2		
Blodget_grid_20240622.nc.cdl	grid	float	RSPfL	ntopou,nlevs	-999.9		Initial fine litter P	gP m-2		
Blodget_grid_20240622.nc.cdl	grid	float	RSPm	ntopou			P in manure	gP m-2		
Blodget_grid_20240622.nc.cdl	grid	float	RSPmL	ntopou,nlevs	-999.9		Initial manure litter P	gP m-2		
Blodget_grid_20240622.nc.cdl	grid	float	RSPw	ntopou			P in surface woody litter	gP m-2		
Blodget_grid_20240622.nc.cdl	grid	float	RSPwL	ntopou,nlevs	-999.9		Initial woody litter P	gP m-2		
Blodget_grid_20240622.nc.cdl	grid	float	SCNH	ntopou,nlevs	-999.9		Lateral hydraulic conductivity Ksat	mm h-1		
Blodget_grid_20240622.nc.cdl	grid	float	SCNV	ntopou,nlevs	-999.9		Vertical hydraulic conductivity Ksat	mm h-1		
Blodget_grid_20240622.nc.cdl	grid	float	SL0	ntopou			Slope	degrees		
Blodget_grid_20240622.nc.cdl	grid	float	THI	ntopou,nlevs	-999.9		Initial soil ice content	m3/m3		
Blodget_grid_20240622.nc.cdl	grid	float	THW	ntopou,nlevs	-999.9		Initial soil water content	m3/m3		
Blodget_grid_20240622.nc.cdl	grid	int	topo_grid	ntopou			grid ID of the topo unit	none		
Blodget_grid_20240622.nc.cdl	grid	float	WP	ntopou,nlevs	-999.9		Wilting point	m3 m-3		
Blodget_grid_20240622.nc.cdl	grid	float	Z2GEG	ngrid			Atmospheric N2	ppm		
Blodget_grid_20240622.nc.cdl	grid	float	Z2OEG	ngrid			Atmospheric N2O	ppm		
Blodget_grid_20240622.nc.cdl	grid	float	ZNH3EG	ngrid			Atmospheric NH3	ppm		
